Date,Season,Week,Home,Visitor,HT,FT,Total Goal,Goal Difference,Result,Home Red Card,Visitor Red Card
06/10/1991,1991,6,Gaziantepspor,Genclerbirligi,0-1,0-1,1,-1,A,0,0
06/10/1991,1991,6,Konyaspor,Adana Demirspor,3-0,8-0,8,8,H,0,1
06/10/1991,1991,6,MKE Ankaragucu,Trabzonspor,0-0,0-0,0,0,D,0,1
06/10/1991,1991,6,Samsunspor,Altay,0-1,1-1,2,0,D,0,0
06/10/1991,1991,6,Aydinspor,Sariyer,1-0,2-0,2,2,H,0,0
06/10/1991,1991,6,Bakirkoyspor,Boluspor,1-0,2-0,2,2,H,0,0
06/10/1991,1991,6,Bursaspor,Besiktas,0-1,0-2,2,-2,A,0,0
19/10/1991,1991,7,Sariyer,Bursaspor,1-1,1-3,4,-2,A,0,0
19/10/1991,1991,7,Besiktas,Bakirkoyspor,3-2,4-2,6,2,H,0,1
19/10/1991,1991,7,Genclerbirligi,Aydinspor,1-0,2-0,2,2,H,0,0
19/10/1991,1991,7,Boluspor,MKE Ankaragucu,0-0,1-1,2,0,D,0,1
19/10/1991,1991,7,Adana Demirspor,Fenerbahce,1-1,1-2,3,-1,A,1,0
19/10/1991,1991,7,Altay,Gaziantepspor,1-1,1-1,2,0,D,1,0
19/10/1991,1991,7,Trabzonspor,Konyaspor,2-0,4-0,4,4,H,1,0
26/10/1991,1991,8,MKE Ankaragucu,Besiktas,1-0,1-2,3,-1,A,0,0
26/10/1991,1991,8,Fenerbahce,Trabzonspor,2-0,4-1,5,3,H,0,0
27/10/1991,1991,8,Gaziantepspor,Samsunspor,2-2,4-2,6,2,H,0,0
27/10/1991,1991,8,Konyaspor,Boluspor,0-0,0-0,0,0,D,0,0
27/10/1991,1991,8,Aydinspor,Altay,2-0,2-1,3,1,H,0,0
27/10/1991,1991,8,Bursaspor,Genclerbirligi,0-0,1-1,2,0,D,0,0
27/10/1991,1991,8,Galatasaray,Adana Demirspor,0-0,2-1,3,1,H,0,0
27/10/1991,1991,8,Bakirkoyspor,Sariyer,0-0,1-2,3,-1,A,0,0
02/11/1991,1991,9,Besiktas,Konyaspor,0-0,1-0,1,1,H,0,0
02/11/1991,1991,9,Sariyer,MKE Ankaragucu,0-0,0-0,0,0,D,0,0
02/11/1991,1991,9,Gaziantepspor,Galatasaray,0-1,0-1,1,-1,A,0,0
03/11/1991,1991,9,Altay,Bursaspor,1-0,1-0,1,1,H,0,0
03/11/1991,1991,9,Trabzonspor,Adana Demirspor,2-0,4-0,4,4,H,0,0
03/11/1991,1991,9,Samsunspor,Aydinspor,0-0,1-1,2,0,D,0,0
03/11/1991,1991,9,Genclerbirligi,Bakirkoyspor,0-1,2-4,6,-2,A,0,0
03/11/1991,1991,9,Boluspor,Fenerbahce,0-0,0-1,1,-1,A,0,0
10/11/1991,1991,7,Samsunspor,Galatasaray,1-0,1-2,3,-1,A,1,0
16/11/1991,1991,10,Fenerbahce,Besiktas,1-1,2-2,4,0,D,0,0
17/11/1991,1991,10,MKE Ankaragucu,Genclerbirligi,2-3,3-3,6,0,D,0,0
17/11/1991,1991,10,Konyaspor,Sariyer,1-0,1-0,1,1,H,0,0
17/11/1991,1991,10,Bursaspor,Samsunspor,1-0,2-0,2,2,H,0,0
17/11/1991,1991,10,Bakirkoyspor,Altay,1-1,1-1,2,0,D,0,0
17/11/1991,1991,10,Aydinspor,Gaziantepspor,1-0,2-2,4,0,D,0,0
17/11/1991,1991,10,Adana Demirspor,Boluspor,3-1,3-1,4,2,H,0,0
17/11/1991,1991,10,Galatasaray,Trabzonspor,1-0,1-1,2,0,D,0,0
23/11/1991,1991,11,Besiktas,Adana Demirspor,0-1,1-1,2,0,D,0,0
23/11/1991,1991,11,Boluspor,Trabzonspor,0-1,0-1,1,-1,A,0,0
24/11/1991,1991,11,Altay,MKE Ankaragucu,1-2,1-3,4,-2,A,0,0
24/11/1991,1991,11,Aydinspor,Galatasaray,0-1,1-1,2,0,D,0,0
24/11/1991,1991,11,Gaziantepspor,Bursaspor,1-1,1-1,2,0,D,0,0
24/11/1991,1991,11,Genclerbirligi,Konyaspor,0-1,1-1,2,0,D,0,0
24/11/1991,1991,11,Samsunspor,Bakirkoyspor,0-1,0-1,1,-1,A,0,0
24/11/1991,1991,11,Sariyer,Fenerbahce,2-1,4-1,5,3,H,0,0
30/11/1991,1991,12,Fenerbahce,Genclerbirligi,1-1,3-1,4,2,H,0,0
01/12/1991,1991,12,Trabzonspor,Besiktas,0-0,2-3,5,-1,A,0,0
01/12/1991,1991,12,Adana Demirspor,Sariyer,1-0,1-1,2,0,D,0,0
01/12/1991,1991,12,MKE Ankaragucu,Samsunspor,1-1,2-2,4,0,D,0,1
01/12/1991,1991,12,Bursaspor,Aydinspor,0-0,1-1,2,0,D,0,0
01/12/1991,1991,12,Galatasaray,Boluspor,1-0,2-1,3,1,H,0,2
01/12/1991,1991,12,Konyaspor,Altay,0-0,2-0,2,2,H,0,0
01/12/1991,1991,12,Bakirkoyspor,Gaziantepspor,2-1,2-2,4,0,D,0,0
07/12/1991,1991,13,Bursaspor,Galatasaray,0-1,0-4,4,-4,A,0,0
08/12/1991,1991,13,Altay,Fenerbahce,0-1,0-2,2,-2,A,1,0
08/12/1991,1991,13,Aydinspor,Bakirkoyspor,0-0,1-0,1,1,H,0,1
08/12/1991,1991,13,Besiktas,Boluspor,0-0,1-0,1,1,H,0,0
08/12/1991,1991,13,Gaziantepspor,MKE Ankaragucu,0-0,0-0,0,0,D,0,0
08/12/1991,1991,13,Genclerbirligi,Adana Demirspor,0-1,1-1,2,0,D,0,0
08/12/1991,1991,13,Samsunspor,Konyaspor,0-0,2-1,3,1,H,0,0
14/12/1991,1991,14,Galatasaray,Besiktas,0-1,0-1,1,-1,A,0,0
15/12/1991,1991,14,Adana Demirspor,Altay,1-0,1-2,3,-1,A,0,0
15/12/1991,1991,14,Trabzonspor,Genclerbirligi,0-0,1-0,1,1,H,0,0
15/12/1991,1991,14,MKE Ankaragucu,Aydinspor,0-0,0-1,1,-1,A,0,0
15/12/1991,1991,14,Konyaspor,Gaziantepspor,1-0,3-0,3,3,H,0,1
15/12/1991,1991,14,Fenerbahce,Samsunspor,1-0,2-0,2,2,H,0,0
15/12/1991,1991,14,Boluspor,Sariyer,0-1,2-1,3,1,H,0,0
15/12/1991,1991,14,Bakirkoyspor,Bursaspor,2-0,2-2,4,0,D,0,0
18/12/1991,1991,13,Sariyer,Trabzonspor,1-1,1-3,4,-2,A,0,0
21/12/1991,1991,15,Galatasaray,Bakirkoyspor,1-0,2-1,3,1,H,0,0
22/12/1991,1991,15,Genclerbirligi,Boluspor,1-0,3-0,3,3,H,0,0
22/12/1991,1991,15,Gaziantepspor,Fenerbahce,0-0,0-0,0,0,D,0,0
22/12/1991,1991,15,Aydinspor,Konyaspor,2-0,2-0,2,2,H,0,0
22/12/1991,1991,15,Altay,Trabzonspor,0-0,0-1,1,-1,A,1,0
22/12/1991,1991,15,Sariyer,Besiktas,0-1,0-5,5,-5,A,0,0
22/12/1991,1991,15,Samsunspor,Adana Demirspor,1-0,4-0,4,4,H,1,1
22/12/1991,1991,15,Bursaspor,MKE Ankaragucu,0-0,1-0,1,1,H,0,0
08/02/1992,1991,16,Sariyer,Galatasaray,0-0,1-0,1,1,H,0,0
09/02/1992,1991,16,Samsunspor,Trabzonspor,0-2,1-3,4,-2,A,0,0
09/02/1992,1991,16,Altay,Boluspor,0-0,1-0,1,1,H,0,0
09/02/1992,1991,16,Gaziantepspor,Adana Demirspor,1-1,2-1,3,1,H,0,0
09/02/1992,1991,16,Aydinspor,Fenerbahce,0-2,0-3,3,-3,A,0,0
09/02/1992,1991,16,Bakirkoyspor,MKE Ankaragucu,2-0,4-1,5,3,H,0,1
09/02/1992,1991,16,Bursaspor,Konyaspor,1-0,1-0,1,1,H,0,0
09/02/1992,1991,16,Genclerbirligi,Besiktas,0-0,0-0,0,0,D,0,0
15/02/1992,1991,17,Fenerbahce,Bursaspor,2-0,3-1,4,2,H,0,1
16/02/1992,1991,17,Adana Demirspor,Aydinspor,1-0,1-0,1,1,H,0,0
16/02/1992,1991,17,Boluspor,Samsunspor,1-0,2-0,2,2,H,0,0
16/02/1992,1991,17,Konyaspor,Bakirkoyspor,0-0,0-0,0,0,D,0,0
16/02/1992,1991,17,MKE Ankaragucu,Galatasaray,0-1,0-3,3,-3,A,0,0
16/02/1992,1991,17,Besiktas,Altay,2-0,3-1,4,2,H,0,0
16/02/1992,1991,17,Sariyer,Genclerbirligi,0-1,1-1,2,0,D,0,0
16/02/1992,1991,17,Trabzonspor,Gaziantepspor,2-0,5-1,6,4,H,0,0
22/02/1992,1991,18,Samsunspor,Besiktas,1-2,1-2,3,-1,A,0,0
22/02/1992,1991,18,Aydinspor,Trabzonspor,0-1,1-2,3,-1,A,0,0
22/02/1992,1991,18,Galatasaray,Genclerbirligi,2-1,3-1,4,2,H,0,1
23/02/1992,1991,18,Gaziantepspor,Boluspor,1-0,2-0,2,2,H,0,0
23/02/1992,1991,18,MKE Ankaragucu,Konyaspor,0-0,0-0,0,0,D,0,0
23/02/1992,1991,18,Altay,Sariyer,1-0,1-0,1,1,H,0,0
24/02/1992,1991,18,Bakirkoyspor,Fenerbahce,0-0,0-1,1,-1,A,1,0
24/02/1992,1991,18,Bursaspor,Adana Demirspor,2-0,4-0,4,4,H,0,0
28/02/1992,1991,19,Besiktas,Gaziantepspor,2-0,2-0,2,2,H,0,0
01/03/1992,1991,19,Fenerbahce,MKE Ankaragucu,2-0,4-1,5,3,H,0,0
01/03/1992,1991,19,Adana Demirspor,Bakirkoyspor,1-0,2-3,5,-1,A,1,0
01/03/1992,1991,19,Sariyer,Samsunspor,2-0,2-1,3,1,H,0,0
01/03/1992,1991,19,Boluspor,Aydinspor,0-1,0-2,2,-2,A,1,1
01/03/1992,1991,19,Trabzonspor,Bursaspor,2-1,2-2,4,0,D,0,0
01/03/1992,1991,19,Genclerbirligi,Altay,0-0,0-0,0,0,D,0,0
07/03/1992,1991,20,Bakirkoyspor,Trabzonspor,0-0,1-2,3,-1,A,1,0
08/03/1992,1991,20,Gaziantepspor,Sariyer,0-0,0-0,0,0,D,0,0
08/03/1992,1991,20,Konyaspor,Fenerbahce,1-1,1-2,3,-1,A,0,0
08/03/1992,1991,20,MKE Ankaragucu,Adana Demirspor,0-0,1-1,2,0,D,0,0
08/03/1992,1991,20,Samsunspor,Genclerbirligi,0-1,2-2,4,0,D,0,0
08/03/1992,1991,20,Aydinspor,Besiktas,1-2,1-2,3,-1,A,0,0
08/03/1992,1991,20,Bursaspor,Boluspor,1-2,1-2,3,-1,A,0,2
08/03/1992,1991,20,Galatasaray,Altay,1-0,3-1,4,2,H,0,0
15/03/1992,1991,21,Trabzonspor,MKE Ankaragucu,2-0,4-0,4,4,H,0,0
15/03/1992,1991,21,Boluspor,Bakirkoyspor,1-0,4-0,4,4,H,0,0
15/03/1992,1991,21,Genclerbirligi,Gaziantepspor,1-0,1-1,2,0,D,0,0
15/03/1992,1991,21,Altay,Samsunspor,1-3,3-3,6,0,D,0,0
15/03/1992,1991,21,Besiktas,Bursaspor,0-0,0-0,0,0,D,0,0
15/03/1992,1991,21,Sariyer,Aydinspor,2-1,3-1,4,2,H,1,1
15/03/1992,1991,21,Adana Demirspor,Konyaspor,1-0,1-0,1,1,H,0,0
21/03/1992,1991,22,Bakirkoyspor,Besiktas,0-0,0-0,0,0,D,0,0
22/03/1992,1991,22,Fenerbahce,Adana Demirspor,2-1,6-1,7,5,H,0,0
22/03/1992,1991,22,Gaziantepspor,Altay,2-1,4-1,5,3,H,1,0
22/03/1992,1991,22,Konyaspor,Trabzonspor,0-1,0-1,1,-1,A,0,0
22/03/1992,1991,22,MKE Ankaragucu,Boluspor,1-0,3-0,3,3,H,0,0
22/03/1992,1991,22,Bursaspor,Sariyer,3-0,4-0,4,4,H,0,1
22/03/1992,1991,22,Galatasaray,Samsunspor,2-0,3-1,4,2,H,1,1
22/03/1992,1991,22,Aydinspor,Genclerbirligi,0-0,1-2,3,-1,A,1,1
28/03/1992,1991,23,Trabzonspor,Fenerbahce,2-1,3-2,5,1,H,0,0
28/03/1992,1991,23,Sariyer,Bakirkoyspor,0-0,1-0,1,1,H,0,0
29/03/1992,1991,23,Besiktas,MKE Ankaragucu,1-0,1-0,1,1,H,0,1
29/03/1992,1991,23,Altay,Aydinspor,3-0,3-1,4,2,H,0,0
29/03/1992,1991,23,Genclerbirligi,Bursaspor,0-1,2-3,5,-1,A,0,0
29/03/1992,1991,23,Boluspor,Konyaspor,0-0,0-0,0,0,D,0,1
29/03/1992,1991,23,Adana Demirspor,Galatasaray,0-0,1-2,3,-1,A,0,0
29/03/1992,1991,23,Samsunspor,Gaziantepspor,1-0,1-0,1,1,H,0,0
01/04/1992,1991,19,Konyaspor,Galatasaray,0-0,0-2,2,-2,A,1,0
04/04/1992,1991,24,Bakirkoyspor,Genclerbirligi,1-0,4-1,5,3,H,0,2
05/04/1992,1991,24,Fenerbahce,Boluspor,0-0,2-0,2,2,H,1,0
05/04/1992,1991,24,Bursaspor,Altay,0-0,0-0,0,0,D,0,0
05/04/1992,1991,24,Galatasaray,Gaziantepspor,0-0,0-1,1,-1,A,0,1
05/04/1992,1991,24,Konyaspor,Besiktas,0-0,0-3,3,-3,A,1,0
05/04/1992,1991,24,Adana Demirspor,Trabzonspor,0-0,0-0,0,0,D,0,0
05/04/1992,1991,24,Aydinspor,Samsunspor,2-1,2-1,3,1,H,0,1
05/04/1992,1991,24,MKE Ankaragucu,Sariyer,1-1,3-1,4,2,H,0,0
11/04/1992,1991,25,Genclerbirligi,MKE Ankaragucu,1-2,2-4,6,-2,A,0,0
11/04/1992,1991,25,Besiktas,Fenerbahce,0-0,1-0,1,1,H,0,0
11/04/1992,1991,25,Sariyer,Konyaspor,0-0,0-1,1,-1,A,0,0
12/04/1992,1991,25,Gaziantepspor,Aydinspor,0-2,0-4,4,-4,A,0,0
12/04/1992,1991,25,Samsunspor,Bursaspor,2-0,4-0,4,4,H,0,1
12/04/1992,1991,25,Trabzonspor,Galatasaray,1-1,2-3,5,-1,A,0,0
12/04/1992,1991,25,Altay,Bakirkoyspor,0-0,1-0,1,1,H,0,1
12/04/1992,1991,25,Boluspor,Adana Demirspor,2-0,3-0,3,3,H,0,0
18/04/1992,1991,26,Fenerbahce,Sariyer,3-0,3-0,3,3,H,0,0
18/04/1992,1991,26,Bursaspor,Gaziantepspor,1-1,4-1,5,3,H,0,0
19/04/1992,1991,26,Bakirkoyspor,Samsunspor,2-0,2-0,2,2,H,1,1
19/04/1992,1991,26,Galatasaray,Aydinspor,1-1,1-3,4,-2,A,0,0
19/04/1992,1991,26,MKE Ankaragucu,Altay,3-0,3-1,4,2,H,0,0
19/04/1992,1991,26,Konyaspor,Genclerbirligi,1-0,1-0,1,1,H,0,0
19/04/1992,1991,26,Adana Demirspor,Besiktas,0-0,0-1,1,-1,A,0,0
19/04/1992,1991,26,Trabzonspor,Boluspor,0-0,0-0,0,0,D,0,0
22/04/1992,1991,21,Fenerbahce,Galatasaray,2-0,5-2,7,3,H,0,2
25/04/1992,1991,27,Besiktas,Trabzonspor,1-1,3-2,5,1,H,0,0
26/04/1992,1991,27,Gaziantepspor,Bakirkoyspor,1-0,1-1,2,0,D,0,0
26/04/1992,1991,27,Boluspor,Galatasaray,0-2,0-2,2,-2,A,0,0
26/04/1992,1991,27,Altay,Konyaspor,0-0,2-0,2,2,H,0,0
26/04/1992,1991,27,Aydinspor,Bursaspor,1-0,3-1,4,2,H,0,0
26/04/1992,1991,27,Sariyer,Adana Demirspor,2-1,4-1,5,3,H,0,0
26/04/1992,1991,27,Genclerbirligi,Fenerbahce,1-0,3-2,5,1,H,0,0
26/04/1992,1991,27,Samsunspor,MKE Ankaragucu,1-2,1-2,3,-1,A,0,0
02/05/1992,1991,28,Boluspor,Besiktas,0-0,0-0,0,0,D,0,0
02/05/1992,1991,28,Galatasaray,Bursaspor,1-2,1-2,3,-1,A,0,0
03/05/1992,1991,28,Konyaspor,Samsunspor,2-0,2-0,2,2,H,1,0
03/05/1992,1991,28,MKE Ankaragucu,Gaziantepspor,1-0,4-0,4,4,H,0,0
03/05/1992,1991,28,Fenerbahce,Altay,1-0,2-1,3,1,H,0,0
03/05/1992,1991,28,Bakirkoyspor,Aydinspor,1-0,2-0,2,2,H,0,1
03/05/1992,1991,28,Trabzonspor,Sariyer,1-0,1-1,2,0,D,0,0
03/05/1992,1991,28,Adana Demirspor,Genclerbirligi,0-0,0-0,0,0,D,0,0
09/05/1992,1991,29,Aydinspor,MKE Ankaragucu,1-0,1-0,1,1,H,0,0
09/05/1992,1991,29,Besiktas,Galatasaray,1-2,4-3,7,1,H,0,1
10/05/1992,1991,29,Altay,Adana Demirspor,2-1,4-3,7,1,H,1,1
10/05/1992,1991,29,Bursaspor,Bakirkoyspor,1-1,2-2,4,0,D,0,0
10/05/1992,1991,29,Genclerbirligi,Trabzonspor,0-0,0-0,0,0,D,0,0
10/05/1992,1991,29,Samsunspor,Fenerbahce,2-1,2-5,7,-3,A,0,0
10/05/1992,1991,29,Sariyer,Boluspor,2-1,2-1,3,1,H,0,0
10/05/1992,1991,29,Gaziantepspor,Konyaspor,1-1,2-2,4,0,D,0,0
16/05/1992,1991,30,Adana Demirspor,Samsunspor,0-0,1-0,1,1,H,0,0
16/05/1992,1991,30,Besiktas,Sariyer,0-0,1-0,1,1,H,0,0
16/05/1992,1991,30,Fenerbahce,Gaziantepspor,3-2,8-4,12,4,H,0,0
17/05/1992,1991,30,Bakirkoyspor,Galatasaray,1-2,3-5,8,-2,A,0,0
17/05/1992,1991,30,Boluspor,Genclerbirligi,1-0,2-1,3,1,H,0,0
17/05/1992,1991,30,MKE Ankaragucu,Bursaspor,2-0,3-3,6,0,D,1,0
17/05/1992,1991,30,Trabzonspor,Altay,0-0,0-1,1,-1,A,0,0
17/05/1992,1991,30,Konyaspor,Aydinspor,1-0,1-0,1,1,H,0,0
23/08/1992,1992,1,Fenerbahce,Bakirkoyspor,2-0,4-0,4,4,H,0,0
23/08/1992,1992,1,Trabzonspor,Sariyer,2-0,4-0,4,4,H,0,0
23/08/1992,1992,1,Genclerbirligi,Galatasaray,0-1,0-3,3,-3,A,1,0
23/08/1992,1992,1,Kocaelispor,Kayseri Erciyesspor,4-1,7-2,9,5,H,0,1
23/08/1992,1992,1,Besiktas,Karsiyaka,0-1,1-1,2,0,D,0,0
23/08/1992,1992,1,Aydinspor,Konyaspor,2-0,2-1,3,1,H,0,0
23/08/1992,1992,1,Bursaspor,Gaziantepspor,2-0,4-0,4,4,H,0,2
23/08/1992,1992,1,Altay,MKE Ankaragucu,0-0,1-0,1,1,H,0,0
30/08/1992,1992,2,MKE Ankaragucu,Aydinspor,1-0,4-0,4,4,H,0,0
30/08/1992,1992,2,Konyaspor,Trabzonspor,0-0,0-0,0,0,D,1,0
30/08/1992,1992,2,Sariyer,Bursaspor,0-2,1-3,4,-2,A,0,0
30/08/1992,1992,2,Gaziantepspor,Fenerbahce,1-2,2-3,5,-1,A,0,0
30/08/1992,1992,2,Galatasaray,Altay,0-2,1-2,3,-1,A,0,0
30/08/1992,1992,2,Bakirkoyspor,Kocaelispor,1-1,3-4,7,-1,A,0,0
30/08/1992,1992,2,Karsiyaka,Genclerbirligi,1-0,3-0,3,3,H,0,1
30/08/1992,1992,2,Kayseri Erciyesspor,Besiktas,1-2,2-3,5,-1,A,0,0
06/09/1992,1992,3,Aydinspor,Altay,0-0,0-1,1,-1,A,0,0
06/09/1992,1992,3,Genclerbirligi,Kayseri Erciyesspor,0-1,0-4,4,-4,A,0,0
06/09/1992,1992,3,Kocaelispor,Gaziantepspor,0-1,1-2,3,-1,A,0,0
06/09/1992,1992,3,Trabzonspor,MKE Ankaragucu,3-1,3-1,4,2,H,0,0
06/09/1992,1992,3,Bursaspor,Konyaspor,0-0,1-1,2,0,D,0,1
06/09/1992,1992,3,Fenerbahce,Sariyer,0-1,0-1,1,-1,A,0,0
06/09/1992,1992,3,Besiktas,Bakirkoyspor,1-0,1-0,1,1,H,0,0
06/09/1992,1992,3,Karsiyaka,Galatasaray,0-1,1-2,3,-1,A,0,0
12/09/1992,1992,4,Gaziantepspor,Besiktas,0-0,0-0,0,0,D,0,0
12/09/1992,1992,4,Altay,Trabzonspor,0-1,1-3,4,-2,A,0,0
12/09/1992,1992,4,Konyaspor,Fenerbahce,0-1,1-5,6,-4,A,0,0
12/09/1992,1992,4,Galatasaray,Aydinspor,0-0,1-0,1,1,H,0,0
12/09/1992,1992,4,Kayseri Erciyesspor,Karsiyaka,0-0,1-1,2,0,D,0,1
13/09/1992,1992,4,Sariyer,Kocaelispor,0-0,0-1,1,-1,A,1,0
13/09/1992,1992,4,MKE Ankaragucu,Bursaspor,0-0,0-1,1,-1,A,0,0
13/09/1992,1992,4,Bakirkoyspor,Genclerbirligi,2-0,3-2,5,1,H,0,0
26/09/1992,1992,5,Besiktas,Sariyer,2-0,4-0,4,4,H,0,0
26/09/1992,1992,5,Karsiyaka,Bakirkoyspor,1-0,2-1,3,1,H,1,0
26/09/1992,1992,5,Fenerbahce,MKE Ankaragucu,1-1,1-2,3,-1,A,1,0
26/09/1992,1992,5,Kayseri Erciyesspor,Galatasaray,1-0,1-1,2,0,D,0,0
26/09/1992,1992,5,Trabzonspor,Aydinspor,0-0,1-0,1,1,H,0,0
27/09/1992,1992,5,Kocaelispor,Konyaspor,2-0,5-0,5,5,H,0,0
27/09/1992,1992,5,Bursaspor,Altay,3-0,4-0,4,4,H,0,0
27/09/1992,1992,5,Genclerbirligi,Gaziantepspor,1-0,1-0,1,1,H,0,0
04/10/1992,1992,6,Sariyer,Genclerbirligi,0-1,1-1,2,0,D,0,0
04/10/1992,1992,6,Galatasaray,Trabzonspor,0-0,1-1,2,0,D,2,0
04/10/1992,1992,6,Bakirkoyspor,Kayseri Erciyesspor,0-0,0-0,0,0,D,1,0
04/10/1992,1992,6,Aydinspor,Bursaspor,0-0,0-1,1,-1,A,0,0
04/10/1992,1992,6,Altay,Fenerbahce,0-0,0-1,1,-1,A,1,0
04/10/1992,1992,6,MKE Ankaragucu,Kocaelispor,0-2,0-3,3,-3,A,0,0
04/10/1992,1992,6,Konyaspor,Besiktas,1-0,2-2,4,0,D,0,0
04/10/1992,1992,6,Gaziantepspor,Karsiyaka,1-0,1-0,1,1,H,0,0
10/10/1992,1992,7,Besiktas,MKE Ankaragucu,1-0,4-0,4,4,H,0,0
10/10/1992,1992,7,Bursaspor,Trabzonspor,0-0,0-0,0,0,D,1,0
11/10/1992,1992,7,Kocaelispor,Altay,0-0,2-0,2,2,H,0,0
11/10/1992,1992,7,Karsiyaka,Sariyer,0-0,1-1,2,0,D,0,1
11/10/1992,1992,7,Fenerbahce,Aydinspor,1-1,1-1,2,0,D,0,1
11/10/1992,1992,7,Bakirkoyspor,Galatasaray,0-1,0-1,1,-1,A,2,0
11/10/1992,1992,7,Kayseri Erciyesspor,Gaziantepspor,0-0,1-1,2,0,D,0,0
11/10/1992,1992,7,Genclerbirligi,Konyaspor,1-0,1-0,1,1,H,0,0
17/10/1992,1992,8,Galatasaray,Bursaspor,0-1,4-2,6,2,H,0,0
17/10/1992,1992,8,Altay,Besiktas,1-0,2-3,5,-1,A,1,0
17/10/1992,1992,8,Trabzonspor,Fenerbahce,1-2,3-4,7,-1,A,0,0
18/10/1992,1992,8,Konyaspor,Karsiyaka,0-1,2-2,4,0,D,0,1
18/10/1992,1992,8,MKE Ankaragucu,Genclerbirligi,0-0,0-2,2,-2,A,0,0
18/10/1992,1992,8,Aydinspor,Kocaelispor,0-2,0-6,6,-6,A,0,0
18/10/1992,1992,8,Gaziantepspor,Bakirkoyspor,0-1,1-5,6,-4,A,0,0
18/10/1992,1992,8,Sariyer,Kayseri Erciyesspor,1-0,1-0,1,1,H,0,1
31/10/1992,1992,9,Gaziantepspor,Galatasaray,0-2,0-5,5,-5,A,0,0
31/10/1992,1992,9,Fenerbahce,Bursaspor,2-0,4-1,5,3,H,0,0
31/10/1992,1992,9,Kocaelispor,Trabzonspor,0-0,0-0,0,0,D,0,0
01/11/1992,1992,9,Besiktas,Aydinspor,0-0,2-0,2,2,H,0,0
01/11/1992,1992,9,Kayseri Erciyesspor,Konyaspor,1-0,1-1,2,0,D,0,0
01/11/1992,1992,9,Karsiyaka,MKE Ankaragucu,0-0,0-0,0,0,D,0,0
01/11/1992,1992,9,Genclerbirligi,Altay,0-1,3-2,5,1,H,0,0
01/11/1992,1992,9,Bakirkoyspor,Sariyer,1-0,3-1,4,2,H,0,0
08/11/1992,1992,10,Altay,Karsiyaka,1-0,2-1,3,1,H,0,0
08/11/1992,1992,10,Aydinspor,Genclerbirligi,2-1,3-2,5,1,H,0,0
08/11/1992,1992,10,Sariyer,Gaziantepspor,1-0,2-0,2,2,H,0,0
08/11/1992,1992,10,Galatasaray,Fenerbahce,0-0,0-1,1,-1,A,1,0
08/11/1992,1992,10,Trabzonspor,Besiktas,0-0,0-0,0,0,D,0,0
08/11/1992,1992,10,Konyaspor,Bakirkoyspor,1-1,1-3,4,-2,A,0,0
08/11/1992,1992,10,Bursaspor,Kocaelispor,0-0,0-2,2,-2,A,1,0
08/11/1992,1992,10,MKE Ankaragucu,Kayseri Erciyesspor,0-0,0-0,0,0,D,0,0
14/11/1992,1992,11,Bakirkoyspor,MKE Ankaragucu,0-1,1-2,3,-1,A,0,0
14/11/1992,1992,11,Gaziantepspor,Konyaspor,3-0,6-2,8,4,H,0,0
14/11/1992,1992,11,Genclerbirligi,Trabzonspor,2-2,2-2,4,0,D,0,0
14/11/1992,1992,11,Karsiyaka,Aydinspor,0-1,0-2,2,-2,A,0,0
14/11/1992,1992,11,Kayseri Erciyesspor,Altay,1-0,1-0,1,1,H,0,0
14/11/1992,1992,11,Kocaelispor,Fenerbahce,0-0,2-1,3,1,H,0,0
14/11/1992,1992,11,Sariyer,Galatasaray,0-0,0-0,0,0,D,0,0
14/11/1992,1992,11,Besiktas,Bursaspor,0-1,3-1,4,2,H,0,0
22/11/1992,1992,12,Altay,Bakirkoyspor,1-0,2-2,4,0,D,1,0
22/11/1992,1992,12,Bursaspor,Genclerbirligi,1-1,3-2,5,1,H,0,0
22/11/1992,1992,12,Fenerbahce,Besiktas,1-1,1-1,2,0,D,0,0
22/11/1992,1992,12,Konyaspor,Sariyer,0-3,0-4,4,-4,A,0,0
22/11/1992,1992,12,MKE Ankaragucu,Gaziantepspor,1-0,2-0,2,2,H,0,0
22/11/1992,1992,12,Trabzonspor,Karsiyaka,1-0,5-0,5,5,H,0,0
22/11/1992,1992,12,Aydinspor,Kayseri Erciyesspor,0-0,1-1,2,0,D,0,0
29/11/1992,1992,13,Bakirkoyspor,Aydinspor,0-0,1-1,2,0,D,0,0
29/11/1992,1992,13,Besiktas,Kocaelispor,2-1,4-1,5,3,H,1,0
29/11/1992,1992,13,Gaziantepspor,Altay,0-1,1-2,3,-1,A,0,0
29/11/1992,1992,13,Karsiyaka,Bursaspor,0-1,2-2,4,0,D,0,1
29/11/1992,1992,13,Kayseri Erciyesspor,Trabzonspor,0-0,0-1,1,-1,A,0,0
29/11/1992,1992,13,Sariyer,MKE Ankaragucu,0-3,3-5,8,-2,A,0,0
29/11/1992,1992,13,Genclerbirligi,Fenerbahce,1-1,2-2,4,0,D,0,0
29/11/1992,1992,13,Konyaspor,Galatasaray,0-1,0-1,1,-1,A,0,0
05/12/1992,1992,14,Besiktas,Galatasaray,1-1,1-3,4,-2,A,2,1
06/12/1992,1992,14,Trabzonspor,Bakirkoyspor,1-0,1-0,1,1,H,0,0
