Date,Season,Week,Home,Visitor,HT,FT,Total Goal,Goal Difference,Result,Home Red Card,Visitor Red Card
09/09/1962,1962,1,Yesildirek,Istanbulspor,0-0,1-0,1,1,H,0,0
09/09/1962,1962,1,Besiktas,Vefa,0-0,4-0,4,4,H,0,0
09/09/1962,1962,1,Genclerbirligi,Turanspor,4-1,8-1,9,7,H,0,0
09/09/1962,1962,1,Goztepe,Altay,2-0,2-1,3,1,H,0,0
15/09/1962,1962,2,Turk Telekom,Yesildirek,1-0,2-0,2,2,H,0,0
15/09/1962,1962,2,Ankara Keciorengucu,Fenerbahce,0-1,1-2,3,-1,A,0,0
15/09/1962,1962,2,Besiktas,MKE Ankaragucu,2-1,2-1,3,1,H,0,0
15/09/1962,1962,2,Beyogluspor,Fatih Karagumruk,0-0,3-2,5,1,H,0,0
16/09/1962,1962,2,Ankara Keciorengucu,Yesildirek,1-1,1-1,2,0,D,0,0
16/09/1962,1962,2,Turk Telekom,Fenerbahce,0-0,0-0,0,0,D,0,0
22/09/1962,1962,3,Turk Telekom,MKE Ankaragucu,1-0,2-1,3,1,H,0,0
22/09/1962,1962,3,Karsiyaka,Ferikoy,0-1,0-1,1,-1,A,0,0
22/09/1962,1962,3,Besiktas,Istanbulspor,2-0,2-1,3,1,H,0,0
22/09/1962,1962,3,Beykoz 1908,Beyogluspor,0-0,1-0,1,1,H,0,0
22/09/1962,1962,3,Goztepe,Galatasaray,0-0,0-1,1,-1,A,0,0
23/09/1962,1962,3,Karsiyaka,Galatasaray,1-0,1-1,2,0,D,0,0
23/09/1962,1962,3,Ankara Demirspor,Turanspor,1-0,5-2,7,3,H,0,0
23/09/1962,1962,3,Goztepe,Ferikoy,0-0,1-0,1,1,H,0,0
23/09/1962,1962,3,Kasimpasa,Vefa,2-1,3-2,5,1,H,0,0
23/09/1962,1962,3,Fenerbahce,Yesildirek,1-0,3-1,4,2,H,0,1
29/09/1962,1962,4,Izmirspor,Istanbulspor,0-0,2-0,2,2,H,0,0
29/09/1962,1962,4,Altinordu,Besiktas,0-1,0-2,2,-2,A,0,0
29/09/1962,1962,4,Beyogluspor,Altay,1-0,2-0,2,2,H,0,0
